Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label,SATD_predictor
get min max for all columns by class,No,Yes,y,>Not SATD
columns. --> features,No,Yes,n,>Not SATD
I think we could improve this part of the code,Yes,Yes,y,>SATD
removing the most efficient feature,Yes,Yes,y,>SATD
TODO: the MFE (R version) implements the non-overlapping region,Yes,Yes,y,>SATD
TODO: The MFE (R version) returns an boolean array marking all,Yes,No,y,>SATD
TODO: Currently; categorical variables are ignored. Should we adjust,Yes,Yes,y,>SATD
TODO: the MFE (R version) implements the non-overlapping region,Yes,Yes,y,>SATD
TODO: The MFE (R version) returns an boolean array marking all,Yes,No,y,>SATD
TODO: Currently; categorical variables are ignored. Should we adjust,Yes,Yes,y,>SATD
Because we needed to calculate 'absolute_bar' here; does,No,Yes,y,>Not SATD
Because we needed to calculate 'absolute_bar' here; does,No,Yes,y,>Not SATD
Removing the most efficient feature,Yes,Yes,y,>SATD
TODO.,Yes,Yes,n,>SATD
TODO: check validity.,Yes,No,y,>SATD
TODO: absorb inner spheres,Yes,Yes,y,>SATD
# How it seems to be implemented in R mfe:,No,No,n,>SATD
removing the most efficient feature,No,Yes,y,>SATD
times; and may be very expensive depending mainly on your data and the,No,Yes,n,>Not SATD
Define session context (not needed when trainning the model so the defaults should be fine),No,Yes,n,>Not SATD
TODO: pre-allocate numpy array,Yes,No,y,>SATD
Needed to make sure the logging output is visible.,No,Yes,y,>Not SATD
''' || Todo || - Improve this || ''',Yes,No,y,>SATD
''' || Todo || - Better typing for nn._WeightedLoss || ''',Yes,Yes,y,>SATD
''' || Todo: || - Multithread ams calc || - Imporve plot colours || ''',Yes,No,y,>SATD
''' || Todo: || - Add non inplace versions\/options || - Imporve delta_phi || ''',Yes,No,y,>SATD
XXX remove in v0.3,Yes,Yes,y,>SATD
TODO Option for string lenght,Yes,Yes,y,>SATD
TODO infer target type automatically,Yes,Yes,y,>SATD
XXX Remove in v0.3,Yes,Yes,y,>SATD
Better way to do this without df?,Yes,Yes,y,>SATD
TODO extend to work on pT; eta; phi vectors,Yes,Yes,y,>SATD
TODO: rewrite to not use a DataFrame for holding parent vector,Yes,Yes,y,>SATD
TODO: add inplace option,Yes,Yes,y,>SATD
TODO: extend to work on pT; eta; phi coordinates,Yes,Yes,y,>SATD
TODO: check how this handles non-numerical categories,Yes,Yes,y,>SATD
TODO: allow option for stepping through each event; rather than fixed resolution scan,Yes,No,y,>SATD
TODO: Standardise pipeline treatment: currently inputs not processed; but outputs are,Yes,Yes,y,>SATD
Return inverse of significance (would negative work better?),Yes,Yes,y,>SATD
TODO: make the zero and one preds more user-friendly,Yes,Yes,y,>SATD
TODO: Check how this handels multi-target regression; may need to adjust averaging axis & DescrStatsW may not handle multi-dimensional data well.,Yes,No,y,>SATD
TODO: Remove use_weights and rely on whether wgt_name is None,Yes,No,y,>SATD
TODO: Make opt use partials rather than strings,Yes,Yes,y,>SATD
TODO: Classmethod from_fy,Yes,No,n,>SATD
TODO: Improve mask description & user-friendlyness; change to indicate that 'masked' inputs are actually the ones which are used,Yes,Yes,y,>SATD
TODO: Chek if mask_inputs can be removed,Yes,Yes,y,>SATD
XXX Remove in v0.3,Yes,Yes,y,>SATD
TODO: check typing; why list?,Yes,No,y,>SATD
TODO: make this work with a single event,Yes,Yes,y,>SATD
TODO: add plot settings & saving,Yes,No,y,>SATD
XXX Remove in v0.3,Yes,Yes,y,>SATD
TODO: Check examples,Yes,No,y,>SATD
TODO: Automate y_range calculation with adjustable leeway,Yes,Yes,y,>SATD
XXX Remove in v0.3,Yes,Yes,y,>SATD
XXX Remove in v0.3,Yes,Yes,y,>SATD
TODO: make plot show uncertainty bands,Yes,Yes,y,>SATD
TODO: make device choosable by user,Yes,Yes,y,>SATD
XXX Remove in v0.4,Yes,Yes,y,>SATD
TODO add mask,Yes,Yes,y,>SATD
TODO: fix returns paret of doc string,Yes,Yes,y,>SATD
TODO: Decide on whether to keep this; could just pass to plot_lr_finders,Yes,Yes,y,>SATD
TODO: update map location when device choice is changable by user,Yes,Yes,y,>SATD
TODO: update to sns 9,Yes,No,y,>SATD
TODO extend to work over matrix data,Yes,No,y,>SATD
TODO Make abtsract wrt data format,Yes,Yes,y,>SATD
TODO: Pass FoldYielder to get example dummy input; or account for matrix inputs,Yes,No,y,>SATD
TODO: Factor out cat_embedder to head,Yes,Yes,y,>SATD
TODO: Add matrix example,Yes,No,y,>SATD
TODO: Add partial block example,Yes,Yes,y,>SATD
TODO: check whether it's overwrite or overload for the technical term,Yes,No,y,>SATD
device = torch.device('cpu')  # TODO: make device choosable by user,Yes,Yes,y,>SATD
TODO: Non-notebook version?,Yes,Yes,y,>SATD
TODO Improve this with preconfigured mask,Yes,Yes,y,>SATD
TODO: Fix this to work for incomplete batch,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
TODO: Decide on whether to keep this; could just pass to plot_lr_finders,Yes,Yes,y,>SATD
TODO: fix returns part of doc string,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
TODO: Fix this to work for incomplete batch,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
TODO: Fix this to work for incomplete batch,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
TODO: make this faster,Yes,No,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
TODO: make the zero and one preds more user-friendly,Yes,Yes,y,>SATD
TODO: Check how this handels multi-target regression; may need to adjust averaging axis & DescrStatsW may not handle multi-dimensional data well.,Yes,No,y,>SATD
TODO: make this work with non-meaned losses,Yes,Yes,y,>SATD
XXX remove in V0.8,Yes,Yes,y,>SATD
Move to maxima,No,Yes,y,>SATD
Keywords that define your package best,No,Yes,n,>Not SATD
"Chose either \""3 - Alpha\""; \""4 - Beta\"" or \""5 - Production\/Stable\"" as the current state of your package",No,Yes,y,>Not SATD
alternative TODO,Yes,Yes,y,>SATD
"What we really want to return is \""Steve Smith\"".",No,No,y,>SATD
"We \""pool\"" the model by simply taking the hidden state corresponding",No,Yes,y,>SATD
Add additional embeddings for special tokens if needed,No,No,y,>Not SATD
"We \""pool\"" the model by simply taking the hidden state corresponding",No,Yes,y,>SATD
Setup distant debugging if needed,No,No,y,>Not SATD
Create output directory if needed,No,Yes,y,>Not SATD
Create output directory if needed,No,Yes,y,>Not SATD
The convention in BERT is:,No,No,n,>Not SATD
"We \""pool\"" the model by simply taking the hidden state corresponding",No,Yes,y,>SATD
Add additional embeddings for special tokens if needed,No,No,y,>Not SATD
"We \""pool\"" the model by simply taking the hidden state corresponding",No,Yes,y,>SATD
The convention in BERT is:,No,No,n,>Not SATD
TODO implement caching,Yes,Yes,y,>SATD
TODO,Yes,Yes,n,>SATD
(2) Blank lines between documents. Document boundaries are needed so,No,Yes,y,>Not SATD
(2) Blank lines between documents. Document boundaries are needed so,No,Yes,y,>Not SATD
The convention in BERT is:,No,No,n,>Not SATD
"We \""pool\"" the model by simply taking the hidden state corresponding",No,Yes,y,>SATD
The convention in BERT is:,No,No,n,>Not SATD
"What we really want to return is \""Steve Smith\"".",No,No,y,>SATD
Reorder columns 'idfs_month' and 'idfs_bin' to the last,No,Yes,y,>Not SATD
list columns out,No,Yes,y,>Not SATD
retrieve best state sequence in reverse using scores directly,No,Yes,y,>Not SATD
below is ugly; yes; but I need the dictionary in the order above and intact,Yes,Yes,y,>SATD
discard unused features,No,No,y,>Not SATD
the 'feature_cell' record array has two columns: col 1 = actual vals; col 0 is just ftr names,No,Yes,n,>Not SATD
discard unused features,Yes,No,y,>Not SATD
the 'feature_cell' record array has two columns: col 1 = actual vals; col 0 is just ftr names,No,Yes,y,>Not SATD
discard unused features,Yes,No,y,>Not SATD
the 'feature_cell' record array has two columns: col 1 = actual vals;,No,Yes,n,>Not SATD
discard unused features,Yes,No,y,>Not SATD
retrieve best state sequence in reverse using scores directly,No,Yes,y,>Not SATD
the 'feature_cell' record array has two columns: col 1 = actual vals;,No,Yes,y,>Not SATD
discard unused features,Yes,No,y,>Not SATD
make sure number of features i.e. columns is constant across feature matrices,No,Yes,y,>Not SATD
If true; `todo` and `todoList` produce output; else they produce nothing.,No,Yes,y,>SATD
Currently this is really gross with a lot of hard-coded constants.,Yes,Yes,y,>SATD
# features_mat is has 536 columns,No,No,n,>Not SATD
Hz bins are columns; i.e.; 'features',No,Yes,y,>Not SATD
Hz bins are columns; i.e.; 'features',No,Yes,n,>Not SATD
determine if we already figured out which features belong to that feature group.,No,No,n,>Not SATD
