Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label,SATD_predictor
get min max for all columns by class,No,Yes,Yes,>Not SATD
columns      features,No,Yes,No,>Not SATD
i think we could improve this part of the code,Yes,Yes,Yes,>SATD
removing the most efficient feature,Yes,Yes,Yes,>SATD
todo  the mfe  r version  implements the non overlapping region,Yes,Yes,Yes,>SATD
todo  the mfe  r version  returns an boolean array marking all,Yes,No,Yes,>SATD
todo  currently  categorical variables are ignored  should we adjust,Yes,Yes,Yes,>SATD
because we needed to calculate  absolute bar  here  does,No,Yes,Yes,>Not SATD
removing the most efficient feature,Yes,Yes,Yes,>SATD
todo ,Yes,Yes,No,>SATD
todo  check validity ,Yes,No,Yes,>SATD
todo  absorb inner spheres,Yes,Yes,Yes,>SATD
  how it seems to be implemented in r mfe ,No,No,No,>SATD
times  and may be very expensive depending mainly on your data and the,No,Yes,No,>Not SATD
define session context  not needed when trainning the model so the defaults should be fine ,No,Yes,No,>Not SATD
todo  pre allocate numpy array,Yes,No,Yes,>SATD
needed to make sure the logging output is visible ,No,Yes,Yes,>Not SATD
       todo      improve this       ,Yes,No,Yes,>SATD
       todo      better typing for nn  weightedloss       ,Yes,Yes,Yes,>SATD
       todo       multithread ams calc      imporve plot colours       ,Yes,No,Yes,>SATD
       todo       add non inplace versions  options      imporve delta phi       ,Yes,No,Yes,>SATD
xxx remove in v0 3,Yes,Yes,Yes,>SATD
todo option for string lenght,Yes,Yes,Yes,>SATD
todo infer target type automatically,Yes,Yes,Yes,>SATD
xxx remove in v0 3,Yes,Yes,Yes,>SATD
better way to do this without df ,Yes,Yes,Yes,>SATD
todo extend to work on pt  eta  phi vectors,Yes,Yes,Yes,>SATD
todo  rewrite to not use a dataframe for holding parent vector,Yes,Yes,Yes,>SATD
todo  add inplace option,Yes,Yes,Yes,>SATD
todo  extend to work on pt  eta  phi coordinates,Yes,Yes,Yes,>SATD
todo  check how this handles non numerical categories,Yes,Yes,Yes,>SATD
todo  allow option for stepping through each event  rather than fixed resolution scan,Yes,No,Yes,>SATD
todo  standardise pipeline treatment  currently inputs not processed  but outputs are,Yes,Yes,Yes,>SATD
return inverse of significance  would negative work better  ,Yes,Yes,Yes,>SATD
todo  make the zero and one preds more user friendly,Yes,Yes,Yes,>SATD
todo  check how this handels multi target regression  may need to adjust averaging axis   descrstatsw may not handle multi dimensional data well ,Yes,No,Yes,>SATD
todo  remove use weights and rely on whether wgt name is none,Yes,No,Yes,>SATD
todo  make opt use partials rather than strings,Yes,Yes,Yes,>SATD
todo  classmethod from fy,Yes,No,No,>SATD
todo  improve mask description   user friendlyness  change to indicate that  masked  inputs are actually the ones which are used,Yes,Yes,Yes,>SATD
todo  chek if mask inputs can be removed,Yes,Yes,Yes,>SATD
todo  check typing  why list ,Yes,No,Yes,>SATD
todo  make this work with a single event,Yes,Yes,Yes,>SATD
todo  add plot settings   saving,Yes,No,Yes,>SATD
todo  check examples,Yes,No,Yes,>SATD
todo  automate y range calculation with adjustable leeway,Yes,Yes,Yes,>SATD
todo  make plot show uncertainty bands,Yes,Yes,Yes,>SATD
todo  make device choosable by user,Yes,Yes,Yes,>SATD
xxx remove in v0 4,Yes,Yes,Yes,>SATD
todo add mask,Yes,Yes,Yes,>SATD
todo  fix returns paret of doc string,Yes,Yes,Yes,>SATD
todo  decide on whether to keep this  could just pass to plot lr finders,Yes,Yes,Yes,>SATD
todo  update map location when device choice is changable by user,Yes,Yes,Yes,>SATD
todo  update to sns 9,Yes,No,Yes,>SATD
todo extend to work over matrix data,Yes,No,Yes,>SATD
todo make abtsract wrt data format,Yes,Yes,Yes,>SATD
todo  pass foldyielder to get example dummy input  or account for matrix inputs,Yes,No,Yes,>SATD
todo  factor out cat embedder to head,Yes,Yes,Yes,>SATD
todo  add matrix example,Yes,No,Yes,>SATD
todo  add partial block example,Yes,Yes,Yes,>SATD
todo  check whether it s overwrite or overload for the technical term,Yes,No,Yes,>SATD
device   torch device  cpu      todo  make device choosable by user,Yes,Yes,Yes,>SATD
todo  non notebook version ,Yes,Yes,Yes,>SATD
todo improve this with preconfigured mask,Yes,Yes,Yes,>SATD
todo  fix this to work for incomplete batch,Yes,Yes,Yes,>SATD
xxx remove in v0 8,Yes,Yes,Yes,>SATD
todo  fix returns part of doc string,Yes,Yes,Yes,>SATD
todo  make this faster,Yes,No,Yes,>SATD
todo  make this work with non meaned losses,Yes,Yes,Yes,>SATD
move to maxima,No,Yes,Yes,>SATD
keywords that define your package best,No,Yes,No,>Not SATD
chose either   3   alpha      4   beta   or   5   production  stable   as the current state of your package,No,Yes,Yes,>Not SATD
alternative todo,Yes,Yes,Yes,>SATD
what we really want to return is   steve smith   ,No,No,Yes,>SATD
we   pool   the model by simply taking the hidden state corresponding,No,Yes,Yes,>SATD
add additional embeddings for special tokens if needed,No,No,Yes,>Not SATD
setup distant debugging if needed,No,No,Yes,>Not SATD
create output directory if needed,No,Yes,Yes,>Not SATD
the convention in bert is ,No,No,No,>Not SATD
todo implement caching,Yes,Yes,Yes,>SATD
todo,Yes,Yes,No,>SATD
 2  blank lines between documents  document boundaries are needed so,No,Yes,Yes,>Not SATD
reorder columns  idfs month  and  idfs bin  to the last,No,Yes,Yes,>Not SATD
list columns out,No,Yes,Yes,>Not SATD
retrieve best state sequence in reverse using scores directly,No,Yes,Yes,>Not SATD
below is ugly  yes  but i need the dictionary in the order above and intact,Yes,Yes,Yes,>SATD
discard unused features,No,No,Yes,>Not SATD
the  feature cell  record array has two columns  col 1   actual vals  col 0 is just ftr names,No,Yes,No,>Not SATD
